id,code,name,district_id
259,MMR013016,Pazundaung,70
260,MMR013017,Botahtaung,70
261,MMR013018,"Dagon Myothit (South)",70
262,MMR013019,"Dagon Myothit (North)",70
263,MMR013020,"Dagon Myothit (East)",70
264,MMR013021,"Dagon Myothit (Seikkan)",70
265,MMR013022,Mingalartaungnyunt,70
266,MMR013023,Thanlyin,72
267,MMR013024,Kyauktan,72
268,MMR013025,Thongwa,72
269,MMR013026,Kayan,72
270,MMR013027,Twantay,72
271,MMR013028,Kawhmu,72
272,MMR013029,Kungyangon,72
273,MMR013030,Dala,72
274,MMR013031,Seikgyikanaungto,72
275,MMR013032,Cocokyun,72
276,MMR013024702,Tadar,72
277,MMR013033,Kyauktada,73
278,MMR013034,Pabedan,73
279,MMR013035,Lanmadaw,73
280,MMR013036,Latha,73
281,MMR013037,Ahlone,73
282,MMR013038,Kyeemyindaing,73
283,MMR013039,Sanchaung,73
284,MMR013040,Hlaing,73
285,MMR013041,Kamaryut,73
286,MMR013042,Mayangone,73
287,MMR013043,Dagon,73
288,MMR013044,Bahan,73
289,MMR013045,Seikkan,73
290,MMR014001,Taunggyi,63
291,MMR014002,Nyaungshwe,63
292,MMR014003,Hopong,63
293,MMR014004,Hsihseng,63
294,MMR014005,Kalaw,63
295,MMR014006,Pindaya,63
296,MMR014007,Ywangan,63
297,MMR014008,Lawksawk,63
298,MMR014009,Pinlaung,63
299,MMR014010,Pekon,63
300,MMR014001703,Kyauktalonegyi,63
301,MMR014008702,Intaw,63
302,MMR014009702,"Naungtayar ",63
303,MMR014011,Loilen,27
304,MMR014012,Laihka,27
305,MMR014013,Nansang,27
306,MMR014014,Kunhing,27
307,MMR014015,Kyethi,27
308,MMR014016,Mongkaing,27
309,MMR014017,Monghsu,27
310,MMR014011702,Pinlon,27
311,MMR014013702,"Kho Lam",27
312,MMR014014702,"Kar Li",27
313,MMR014015702,"Mongnawng ",27
314,MMR014017702,"Mongsan (Hmonesan)",27
315,MMR014018,Langkho,23
316,MMR014019,Mongnai,23
317,MMR014020,Mawkmai,23
318,MMR014021,Mongpan,23
319,MMR014018702,Homein,23
320,MMR014019702,"Kengtawng ",23
321,MMR015001,Lashio,24
322,MMR015002,Hseni,24
323,MMR015003,Mongyai,24
324,MMR015004,Tangyan,24
325,MMR015009,Muse,43
326,MMR015010,Namhkan,43
327,MMR015011,Kutkai,43
328,MMR015009702,Monekoe,43
329,MMR015009703,"Manhlyoe (Manhero)",43
330,MMR015009704,"Pang Hseng (Kyu Koke)",43
331,MMR015011702,Tarmoenye,43
332,MMR015012,Kyaukme,19
333,MMR015013,Nawnghkio,19
334,MMR015014,Hsipaw,19
335,MMR015015,Namtu,19
336,MMR015016,Namhsan,19
337,MMR015017,Mongmit,19
338,MMR015018,Mabein,19
339,MMR015019,Manton,19
340,MMR015012702,Mongngawt,19
341,MMR015012703,Monglon,19
342,MMR015020,Kunlong,18
343,MMR015022,Laukkaing,25
344,MMR015023,Konkyan,25
345,MMR015022702,"Chinshwehaw ",25
346,MMR015023702,"Maw Hteik",25
347,MMR015021,Hopang,10
348,MMR015008,Mongmao,10
349,MMR015007,Pangwaun,10
350,MMR015021703,"Pan Lon",10
351,MMR015024,Matman,30
352,MMR015005,Pangsang,30
353,MMR015006,Narphan,30
354,MMR015005702,"Man Kan",30
355,MMR016001,Kengtung,17
356,MMR016002,Mongkhet,17
357,MMR016003,Mongyang,17
358,MMR016005,Mongla,17
359,MMR016003702,Mongpauk,17
360,MMR016006,Monghsat,40
361,MMR016007,Mongping,40
362,MMR016008,Mongton,40
363,MMR016006702,Mongkhoke,40
364,MMR016007702,Tontar,40
365,MMR016008702,Ponparkyin,40
366,MMR016008703,"Hmone Hta",40
367,MMR016009,Tachileik,61
368,MMR016009703,Tarlay,61
369,MMR016009702,Kenglat,61
370,MMR016010,Monghpyak,39
371,MMR016011,Mongyawng,39
372,MMR016011702,Mongyu,39
373,MMR017002,Kangyidaunt,53
374,MMR017007,Kyaunggon,53
375,MMR017005,Kyonpyaw,53
376,MMR017004,Ngapudaw,53
377,MMR017001,Pathein,53
378,MMR017006,Yegyi,53
379,MMR017003,Thabaung,53
380,MMR017004702,Ngayokekaung,53
381,MMR017004703,Hainggyikyun,53
382,MMR017001702,Shwethaungyan,53
383,MMR017001703,Ngwesaung,53
384,MMR017006702,Ngathaingchaung,53
385,MMR017025,Kyaiklat,55
