id,code,name,district_id,id,name,code,region_divisions_id,id,name,code
122,MMR006007702,"Palauk ",46,46,Myeik,MMR006D002,14,14,Tanintharyi,TNI
123,MMR006009,Kawthoung,16,16,Kawthoung,MMR006D003,14,14,Tanintharyi,TNI
124,MMR006010,Bokpyin,16,16,Kawthoung,MMR006D003,14,14,Tanintharyi,TNI
125,MMR006009702,"Khamaukgyi ",16,16,Kawthoung,MMR006D003,14,14,Tanintharyi,TNI
126,MMR006010702,"Pyigyimandaing ",16,16,Kawthoung,MMR006D003,14,14,Tanintharyi,TNI
127,MMR006010703,Karathuri,16,16,Kawthoung,MMR006D003,14,14,Tanintharyi,TNI
128,MMR007001,Bago,1,1,Bago,MMR007D001,2,2,Bago,BGO
129,MMR007002,Thanatpin,1,1,Bago,MMR007D001,2,2,Bago,BGO
130,MMR007003,Kawa,1,1,Bago,MMR007D001,2,2,Bago,BGO
131,MMR007004,Waw,1,1,Bago,MMR007D001,2,2,Bago,BGO
132,MMR007005,Nyaunglebin,1,1,Bago,MMR007D001,2,2,Bago,BGO
133,MMR007006,Kyauktaga,1,1,Bago,MMR007D001,2,2,Bago,BGO
134,MMR007007,Daik-U,1,1,Bago,MMR007D001,2,2,Bago,BGO
135,MMR007008,Shwegyin,1,1,Bago,MMR007D001,2,2,Bago,BGO
136,MMR007009,Taungoo,64,64,Taungoo,MMR007D002,2,2,Bago,BGO
137,MMR007010,Yedashe,64,64,Taungoo,MMR007D002,2,2,Bago,BGO
138,MMR007011,Kyaukkyi,64,64,Taungoo,MMR007D002,2,2,Bago,BGO
139,MMR007012,Phyu,64,64,Taungoo,MMR007D002,2,2,Bago,BGO
140,MMR007013,Oktwin,64,64,Taungoo,MMR007D002,2,2,Bago,BGO
141,MMR007014,Htantabin,64,64,Taungoo,MMR007D002,2,2,Bago,BGO
142,MMR008001,Pyay,56,56,Pyay,MMR008D001,2,2,Bago,BGO
143,MMR008002,Paukkhaung,56,56,Pyay,MMR008D001,2,2,Bago,BGO
144,MMR008003,Padaung,56,56,Pyay,MMR008D001,2,2,Bago,BGO
